Marc Garcia,/madrid2016/schedule/presentation/5/,Understanding Random Forests
Juan Luis Cano Rodríguez,/madrid2016/schedule/presentation/4/,"Embrace conda packages: the build system we always needed, but never deserved"
Manuel Garrido Pena,/madrid2016/schedule/presentation/13/,A Primer on Recommendation Systems (Talk)
Jose Manuel Ortega,/madrid2016/schedule/presentation/9/,Python tools for webscraping
Tomás Gómez Alvarez-Arenas,/madrid2016/schedule/presentation/3/,The solution of inverse problems.
Pablo Manuel García Corzo,/madrid2016/schedule/presentation/14/,Towards a full stack python monitoring+analytics framework
Antònia Tugores,/madrid2016/schedule/presentation/20/,City attractiveness seen through Twitter
Nathan Epstein,/madrid2016/schedule/presentation/7/,Reinforcement Learning in Python
Jaime Fernández,/madrid2016/schedule/presentation/1/,The Future of NumPy Indexing
Claudia Guirao Fernández,/madrid2016/schedule/presentation/6/,Whoosh: a fast pure-Python search engine library
Miguel Sánchez de León Peque,/madrid2016/schedule/presentation/11/,Python for developing a real-time automated trading platform
Ricardo Pio Monti,/madrid2016/schedule/presentation/12/,Modelling a text corpus using Deep Boltzmann Machines in python
"Jesús Martos Carrizo, Alejandro Sáez Mollejo",/madrid2016/schedule/presentation/8/,Remove before flight: Analysing flight safety data with Python
Jesús Sánchez,/madrid2016/schedule/presentation/24/,An Architecture to Tweet Them All
