20 de Noviembre de 2015,15:00,Usando contenedores para Big Data,Francesc Alted
20 de Noviembre de 2015,15:00,"Python en gvSIG, el Sistema de Información Geográfica Libre",Joaquín del Cerro
20 de Noviembre de 2015,15:00,Single-Page Applications con Django y Backbone,Miguel Sánchez Rodríguez y Miguel González Nieto
20 de Noviembre de 2015,18:00,Introducción a visualizaciones interactivas con Bokeh,Alejandro Vidal
20 de Noviembre de 2015,18:00,Simplifica tu vida con sistemas complejos y algoritmos genéticos,Carlos Dorado y Siro Moreno
21 de Noviembre de 2015,18:00,Better async code with Python 3,Anton Caceres
21 de Noviembre de 2015,10:00,#!/usr/bin/python (Python para Sysadmins),Andreu Belmonte Peña
21 de Noviembre de 2015,10:00,DSLs: Can't parse that!♫,Miguel Araujo
21 de Noviembre de 2015,10:00,Navigating the Data Science Python Ecosystem,Christine Doig
21 de Noviembre de 2015,10:40,Click: Como hacer interfaces de comandos con Python,Roberto Majadas Lopez
21 de Noviembre de 2015,10:40,Escalando una web con python,Jose Ignacio Galarza
21 de Noviembre de 2015,10:40,Autosubmit: investigando el clima con Python,Javier Vegas Regidor
21 de Noviembre de 2015,11:50,let's Twisted again!,Israel D. Aguilar
21 de Noviembre de 2015,11:50,Syntactic Macros in Python,Salvador de la Puente González
21 de Noviembre de 2015,11:50,SocialLearning: encontrando materiales formativos de manera colaborativa,Alberto Labarga
21 de Noviembre de 2015,12:30,"La maquinaria de import, ese mágico desconocido",Raúl Cumplido
21 de Noviembre de 2015,12:30,"""Embedding"" de Python en otras aplicaciones",Jesús Cea
21 de Noviembre de 2015,12:30,Introducción a visualizaciones interactivas con Bokeh,Alejandro Vidal
21 de Noviembre de 2015,13:10,Python Funcional,Guillermo Vayá Pérez
21 de Noviembre de 2015,13:10,"Python tips, tricks and dark magic",Jordi Soucheiron Estruch
21 de Noviembre de 2015,13:10,Python en la industria: el problema de optimización (matemática),Daniel Domene y Carlos Planelles
21 de Noviembre de 2015,15:00,Objetos mutable e inmutables y errores típicos,Pablo Enfedaque
21 de Noviembre de 2015,15:00,SQJobs: Sencillo sistema de tareas en segundo plano,Federico Mon
21 de Noviembre de 2015,15:00,Know your models - Statsmodels!,Israel Saeta Pérez y Miquel Camprodon
21 de Noviembre de 2015,15:40,Revisión de código en Python,Cesar Cardenas Desales
21 de Noviembre de 2015,15:40,Learning by Trolling,Jesús Espino
21 de Noviembre de 2015,15:40,Data structures beyond dicts and lists,Sergi Sorribas
21 de Noviembre de 2015,16:50,Python descriptors al detalle,Pablo Enfedaque
21 de Noviembre de 2015,16:50,Django request-response: Un viaje de ida y vuelta,Imanol Cea
21 de Noviembre de 2015,16:50,Seguridad y criptografía en Python,José Manuel Ortega
21 de Noviembre de 2015,17:30,Extending Python,Francisco Fernández Castaño
21 de Noviembre de 2015,17:30,Integrando Apache Storm como servidor de aplicaciones Python,Carlos Perelló Marín
21 de Noviembre de 2015,17:30,PhaseSpace un programa para analizar sistemas dinámicos,Anton Ferré Pujol
22 de Noviembre de 2015,09:20,Implantación de ElasticSearch: problemas y soluciones,Miguel Sánchez Rodríguez y Miguel González Nieto
22 de Noviembre de 2015,09:20,Sirviendo 1M de tickets en 50 idiomas y 35 divisas,Jose Gargallo
22 de Noviembre de 2015,09:20,Es posible hacer una tesis doctoral en turbulencia con Python,Guillem Borrell Nogueras
22 de Noviembre de 2015,10:00,Como crear un bot para Telegram,Urtzi Odriozola Lizaso
22 de Noviembre de 2015,10:00,asyncIO: póngase a la cola por favor,Miguel Araujo y Jose Ignacio Galarza
22 de Noviembre de 2015,10:00,"Thumbor, el servidor de imágenes libre e inteligente",Edu Herraiz
22 de Noviembre de 2015,10:40,"Plone 5: el CMS del futuro, en el presente.",Mikel Larreategi
22 de Noviembre de 2015,10:40,Un python nuevo para ti: decorators,Braulio Valdivielso
22 de Noviembre de 2015,10:40,Machine Learning in the Cloud with Python,Mercè Martin
22 de Noviembre de 2015,11:50,Funcional para trollear,Alejandro Brito Monedero
22 de Noviembre de 2015,11:50,"El módulo ""tracemalloc""",Jesús Cea
22 de Noviembre de 2015,11:50,Trolling Detection with Scikit-learn and NLTK,Rafa Haro
22 de Noviembre de 2015,12:30,"Having it All: Distributed services with Django, Boto, and SQS queues",Julio Vicente Trigo Guijarro
22 de Noviembre de 2015,12:30,Comparing Python ORM,José Manuel Ortega
22 de Noviembre de 2015,12:30,Tratando datos más allá de los límites de la memoria,Francesc Alted
22 de Noviembre de 2015,13:10,Introducción a los DSL (Domain Specific Languages) en Python,Juan Ignacio Rodríguez de León
22 de Noviembre de 2015,13:10,Metaprogramación en Python,Raúl Cumplido
22 de Noviembre de 2015,13:10,Dive into Scrapy,Juan Riaza
22 de Noviembre de 2015,15:00,Life of a Python program,Francisco Fernández Castaño
22 de Noviembre de 2015,15:00,Hacking the Taiga,David Barragán Merino
22 de Noviembre de 2015,15:00,"Fiona y Shapely, la punta del iceberg del análisis de datos geográficos con Python",Geoinquietos Valencia
22 de Noviembre de 2015,15:40,Python in the Sky,David Arcos
22 de Noviembre de 2015,15:40,"Amqp from Python, advanced design patterns","Pau Freixes, Arnau Orriols"
22 de Noviembre de 2015,15:40,Agujeros negros y optimización de código en python,Pablo Galindo Salgado
